id,PROVINCIA,MARCA,CLASE,PASAJEROS,TONELAJE,COMBUSTIBLE,MODELO,SERVICIO,ESTRATONE,ESTRAPASAJERO,MES
1,1,HYUNDAI,1,5,"0,75",2,2011,3,1,1,7
2,17,JEEP,6,5,"0,75",2,1111,3,1,1,11
3,9,CHEVROLET,1,5,"0,75",2,2010,3,1,1,7
4,13,CHEVROLET,6,5,1,2,1111,3,1,1,9
5,9,SHINERAY,7,2,"0,25",2,2022,3,1,1,9
6,24,IGM,7,2,"0,25",2,2020,3,1,1,7
7,17,TOYOTA,6,5,"0,75",2,2024,3,1,1,9
8,17,CHEVROLET,1,5,"0,5",2,2012,3,1,1,9
9,3,CHEVROLET,4,2,"1,5",1,1111,3,1,1,3
10,2,HONDA,7,2,"0,25999999046325684",2,2020,3,1,1,8
11,9,KIA,1,5,"0,75",2,2020,3,1,1,12
12,9,HONDA,7,2,"0,25",2,2019,3,1,1,4
13,17,HYUNDAI,5,11,"0,8299999833106995",1,2024,3,1,2,12
14,13,SUZUKI,1,5,"0,75",2,1111,3,1,1,3
15,6,CHEVROLET,1,5,"0,75",2,2013,3,1,1,11
16,23,LINGKEN,7,2,"0,25",2,2015,3,1,1,8
17,17,HINO,3,2,8,1,1111,2,3,1,7
18,19,CHEVROLET,1,5,"0,75",2,1111,3,1,1,12
19,1,FORD,4,2,1,2,1111,3,1,1,12
20,5,RANGER,7,2,"0,25",2,2021,3,1,1,8
21,8,NISSAN,4,5,"0,75",2,2011,3,1,1,7
22,23,CHEVROLET,4,2,"0,75",1,2010,3,1,1,1
23,24,CHEVROLET,1,5,"0,5",2,1111,3,1,1,12
24,17,CHEVROLET,1,5,"0,5",2,2010,3,1,1,2
25,9,CHEVROLET,1,5,"0,75",2,2015,2,1,1,3
26,9,DFSK,6,7,"0,75",2,2023,3,1,1,2
27,13,CHEVROLET,1,5,"0,30000001192092896",2,2013,3,1,1,8
28,7,CHEVROLET,1,5,"0,5",2,2015,3,1,1,9
29,13,HYUNDAI,6,7,1,1,1111,3,1,1,9
30,12,MAZDA,4,5,1,2,2011,3,1,1,8
31,2,SUKIDA,7,2,"0,25",2,2020,3,1,1,8
32,10,THUNDER,7,2,"0,25",2,2021,3,1,1,11
33,13,DUKARE,7,1,"0,25",2,2012,3,1,1,9
34,23,CHEVROLET,1,5,"0,75",2,2016,3,1,1,12
35,18,CHEVROLET,4,2,1,2,1111,3,1,1,8
36,9,HONDA,7,2,"0,25",2,2019,3,1,1,8
37,17,SUZUKI,6,5,"0,75",2,2014,3,1,1,6
38,13,SUKIDA,7,2,"0,25",2,2023,3,1,1,7
39,17,CHEVROLET,1,5,"0,5",2,2012,3,1,1,2
40,9,TOYOTA,4,3,"0,75",2,1111,3,1,1,5
41,18,RENAULT,1,5,"0,75",2,2012,3,1,1,11
42,9,CHEVROLET,4,5,"1,25",1,2019,3,1,1,2
43,17,TOYOTA,4,2,"0,75",2,1111,3,1,1,8
44,9,HYUNDAI,6,5,"0,75",2,1111,3,1,1,9
45,17,TOYOTA,1,5,"0,75",2,1111,3,1,1,7
46,17,RANGER,7,2,"0,25",2,2023,3,1,1,8
47,12,CHEVROLET,1,5,"0,5",2,2010,3,1,1,5
48,17,PEUGEOT,1,5,"0,75",1,2020,3,1,1,12
49,9,ZONGSHEN,7,2,"0,25",2,2020,3,1,1,4
50,13,FORD,4,5,"1,25",1,2019,3,1,1,11
51,18,DFSK,4,2,"0,8100000023841858",2,2023,3,1,1,7
52,11,HYUNDAI,6,7,"0,75",2,2010,3,1,1,3
53,17,HONDA,7,2,"1,5499999523162842",2,2020,3,1,1,11
54,9,SHINERAY,7,2,"0,25",2,2021,3,1,1,2
55,13,CHEVROLET,4,5,"1,25",1,2016,2,1,1,2
56,24,DAYTONA,7,2,"0,25",2,2022,3,1,1,9
57,17,TVS,7,2,"0,25",2,2019,3,1,1,12
58,7,RENAULT,1,5,"0,75",2,1111,3,1,1,4
59,9,TOYOTA,4,5,"1,2999999523162842",1,2011,3,1,1,3
60,16,CHEVROLET,5,8,1,2,2015,3,1,1,7
61,17,CHEVROLET,3,2,"2,8399999141693115",1,2014,3,1,1,6
62,17,CHEVROLET,1,5,"0,5",2,2013,3,1,1,3
63,13,SHINERAY,7,2,"0,25",2,2023,3,1,1,11
64,13,KIA,1,5,"0,5",2,1111,3,1,1,5
65,13,IGM,7,2,"0,25",2,2018,3,1,1,4
66,12,THUNDER,7,2,"0,25",2,2023,3,1,1,12
67,7,CHEVROLET,3,3,10,1,1111,2,3,1,6
68,2,CHEVROLET,6,5,"0,75",2,2012,3,1,1,6
69,17,SHINERAY,7,2,"0,25",2,2022,3,1,1,9
70,17,TOYOTA,6,5,"0,75",2,1111,3,1,1,11
71,13,DAYTONA,7,2,"0,25",2,2019,3,1,1,2
72,9,KIA,6,5,"0,75",2,2021,3,1,1,8
73,7,MAZDA,4,5,"0,75",1,2013,3,1,1,5
74,5,SUZUKI,6,5,"0,75",2,2017,3,1,1,3
75,7,YAMAHA,7,2,"0,25",2,2020,3,1,1,4
76,12,RANGER,7,1,"0,25",2,2010,3,1,1,5
77,17,CHEVROLET,6,8,"0,75",2,2018,3,1,1,10
78,18,SUKIDA,7,1,"0,25",2,2015,3,1,1,4
79,9,SHINERAY,7,2,"0,25",2,2019,3,1,1,6
80,3,TOYOTA,6,5,"0,5400000214576721",2,2023,3,1,1,11
81,17,Z1,7,2,"0,25",2,2023,3,1,1,6
82,13,MAZDA,4,5,"0,75",1,2010,2,1,1,6
83,17,CHEVROLET,4,5,"0,75",1,2013,3,1,1,3
84,13,MITSUBISHI,4,5,"0,75",2,1111,3,1,1,8
85,11,NISSAN,6,5,"0,75",2,2010,3,1,1,3
86,12,HYUNDAI,1,5,"0,75",2,2010,3,1,1,1
87,17,TOYOTA,1,5,"0,5",2,1111,3,1,1,5
88,9,TUNDRA,7,1,"0,25",2,2013,3,1,1,3
89,9,SUKIDA,7,2,"0,25",2,2022,3,1,1,12
90,1,CHEVROLET,1,5,"0,5",2,2016,3,1,1,11
