provincia_id,anio,total_victimas,fallecidos,lesionados
1,2023,1286,82,1204
2,2023,204,33,171
3,2023,107,44,63
4,2023,43,20,23
5,2023,256,89,167
6,2023,366,101,265
7,2023,644,100,544
8,2023,245,81,164
9,2023,8499,583,7916
10,2023,328,61,267
11,2023,483,41,442
12,2023,1332,168,1164
13,2023,1322,179,1143
14,2023,98,20,78
15,2023,29,13,16
16,2023,50,11,39
17,2023,3134,438,2696
18,2023,726,83,643
19,2023,82,23,59
20,2023,13,2,11
21,2023,33,16,17
22,2023,134,40,94
23,2023,940,113,827
24,2023,624,32,592
